video_id,env,band,file_path,fps,duration,frame_count,resolution,swing_start_frame,swing_end_frame,split
Side-6020-6_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-6_no00.mp4,30.0,7.2,216,720x1280,64,164,train
Side-6020-6_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-6_no01.mp4,30.0,7.2,216,720x1280,66,166,val
Side-6020-6_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-6_no02.mp4,30.0,7.2,216,720x1280,66,166,train
Side-6020-6_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-6_no03.mp4,30.0,7.2,216,720x1280,63,163,test
Side-6020-8_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-8_no00.mp4,30.0,7.233,217,720x1280,91,179,train
Side-6020-8_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-8_no01.mp4,30.0,7.233,217,720x1280,91,193,train
Side-6020-8_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-8_no02.mp4,30.0,7.233,217,720x1280,92,157,train
Side-6020-8_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6020-8_no03.mp4,30.0,7.233,217,720x1280,113,213,train
Backside-8751-3_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-3_no00.mp4,30.0,7.367,221,720x1280,92,192,test
Backside-8751-3_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-3_no01.mp4,30.0,7.367,221,720x1280,107,207,train
Backside-8751-3_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-3_no02.mp4,30.0,7.367,221,720x1280,92,192,train
Backside-8751-3_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-3_no03.mp4,30.0,7.367,221,720x1280,108,208,val
Backside-8751-5_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-5_no00.mp4,30.0,7.4,222,720x1280,114,214,train
Backside-8751-5_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-5_no01.mp4,30.0,7.4,222,720x1280,95,195,train
Backside-8751-5_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-5_no02.mp4,30.0,7.4,222,720x1280,95,155,train
Backside-8751-5_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-5_no03.mp4,30.0,7.4,222,720x1280,114,214,train
Backside-8751-6_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-6_no00.mp4,30.0,6.767,203,720x1280,87,187,train
Backside-8751-6_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-6_no01.mp4,30.0,6.767,203,720x1280,69,169,val
Backside-8751-6_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-6_no02.mp4,30.0,6.767,203,720x1280,128,203,train
Backside-8751-6_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Backside-8751-6_no03.mp4,30.0,6.767,203,720x1280,69,169,train
Side-6016-4_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-4_no00.mp4,30.0,8.967,269,720x1280,214,269,train
Side-6016-4_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-4_no01.mp4,30.0,8.967,269,720x1280,0,100,train
Side-6016-4_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-4_no02.mp4,30.0,8.967,269,720x1280,250,269,test
Side-6016-4_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-4_no03.mp4,30.0,8.967,269,720x1280,218,269,train
Side-6016-5_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-5_no00.mp4,30.0,7.967,239,720x1280,193,239,train
Side-6016-5_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-5_no01.mp4,30.0,7.967,239,720x1280,194,239,val
Side-6016-5_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-5_no02.mp4,30.0,7.967,239,720x1280,0,100,train
Side-6016-5_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-5_no03.mp4,30.0,7.967,239,720x1280,193,239,train
Side-6016-6_no00,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-6_no00.mp4,30.0,7.4,222,720x1280,176,222,train
Side-6016-6_no01,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-6_no01.mp4,30.0,7.4,222,720x1280,166,216,train
Side-6016-6_no02,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-6_no02.mp4,30.0,7.4,222,720x1280,213,222,train
Side-6016-6_no03,indoor,6_8,Public Test\Trong nhà - Indoor\Band 6-8\Side-6016-6_no03.mp4,30.0,7.4,222,720x1280,0,24,train
Backside-8748-3_no00,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-3_no00.mp4,30.0,7.4,222,720x1280,190,222,train
Backside-8748-3_no01,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-3_no01.mp4,30.0,7.4,222,720x1280,188,222,val
Backside-8748-3_no02,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-3_no02.mp4,30.0,7.4,222,720x1280,191,222,train
Backside-8748-3_no03,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-3_no03.mp4,30.0,7.4,222,720x1280,179,222,train
Backside-8748-5_no00,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-5_no00.mp4,30.0,7.867,236,720x1280,0,100,train
Backside-8748-5_no01,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-5_no01.mp4,30.0,7.867,236,720x1280,180,236,train
Backside-8748-5_no02,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-5_no02.mp4,30.0,7.867,236,720x1280,199,236,test
Backside-8748-5_no03,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Backside-8748-5_no03.mp4,30.0,7.867,236,720x1280,198,236,test
Side-5999-1_no00,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-5999-1_no00.mp4,30.0,7.4,222,720x1280,100,200,train
Side-5999-1_no01,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-5999-1_no01.mp4,30.0,7.4,222,720x1280,77,142,train
Side-5999-1_no02,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-5999-1_no02.mp4,30.0,7.4,222,720x1280,107,158,train
Side-5999-1_no03,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-5999-1_no03.mp4,30.0,7.4,222,720x1280,79,142,train
Side-6007-1_no00,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-6007-1_no00.mp4,30.0,9.933,298,720x1280,172,272,train
Side-6007-1_no01,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-6007-1_no01.mp4,30.0,9.933,298,720x1280,156,256,train
Side-6007-1_no02,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-6007-1_no02.mp4,30.0,9.933,298,720x1280,198,298,train
Side-6007-1_no03,indoor,8_10,Public Test\Trong nhà - Indoor\Band 8-10\Side-6007-1_no03.mp4,30.0,9.933,298,720x1280,148,248,test
Backside-8897-2_no00,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2_no00.mp4,30.0,7.433,223,720x1280,111,168,train
Backside-8897-2_no01,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2_no01.mp4,30.0,7.433,223,720x1280,111,166,train
Backside-8897-2_no02,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2_no02.mp4,30.0,7.433,223,720x1280,113,213,train
Backside-8897-2_no03,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2_no03.mp4,30.0,7.433,223,720x1280,119,219,train
Backside-8900-11_no00,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11_no00.mp4,30.0,7.1,213,720x1280,116,213,train
Backside-8900-11_no01,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11_no01.mp4,30.0,7.1,213,720x1280,130,213,train
Backside-8900-11_no02,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11_no02.mp4,30.0,7.1,213,720x1280,113,213,val
Backside-8900-11_no03,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11_no03.mp4,30.0,7.1,213,720x1280,129,213,val
Side-6088-2_no00,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6088-2_no00.mp4,30.0,6.333,190,720x1280,107,190,train
Side-6088-2_no01,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6088-2_no01.mp4,30.0,6.333,190,720x1280,89,143,train
Side-6088-2_no02,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6088-2_no02.mp4,30.0,6.333,190,720x1280,107,190,train
Side-6088-2_no03,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6088-2_no03.mp4,30.0,6.333,190,720x1280,108,190,train
Side-6089-1_no00,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6089-1_no00.mp4,30.0,7.467,224,720x1280,0,100,train
Side-6089-1_no01,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6089-1_no01.mp4,30.0,7.467,224,720x1280,0,100,test
Side-6089-1_no02,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6089-1_no02.mp4,30.0,7.467,224,720x1280,0,100,train
Side-6089-1_no03,outdoor,1_2,Public Test\Ngoài trời - Outdoor\Band 1-2\Side-6089-1_no03.mp4,30.0,7.467,224,720x1280,135,224,train
Backside-8900-8_no00,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8_no00.mp4,30.0,7.733,232,720x1280,116,181,val
Backside-8900-8_no01,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8_no01.mp4,30.0,7.733,232,720x1280,122,182,train
Backside-8900-8_no02,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8_no02.mp4,30.0,7.733,232,720x1280,119,172,train
Backside-8900-8_no03,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8_no03.mp4,30.0,7.733,232,720x1280,123,182,train
Backside-8900-9_no00,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9_no00.mp4,30.0,7.5,225,720x1280,118,218,val
Backside-8900-9_no01,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9_no01.mp4,30.0,7.5,225,720x1280,118,218,val
Backside-8900-9_no02,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9_no02.mp4,30.0,7.5,225,720x1280,133,225,train
Backside-8900-9_no03,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9_no03.mp4,30.0,7.5,225,720x1280,0,100,train
Side-6086-8_no00,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-8_no00.mp4,30.0,6.9,207,720x1280,110,169,train
Side-6086-8_no01,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-8_no01.mp4,30.0,6.9,207,720x1280,0,24,val
Side-6086-8_no02,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-8_no02.mp4,30.0,6.9,207,720x1280,124,207,train
Side-6086-8_no03,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-8_no03.mp4,30.0,6.9,207,720x1280,131,207,train
Side-6086-9_no00,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-9_no00.mp4,30.0,5.567,167,720x1280,59,115,test
Side-6086-9_no01,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-9_no01.mp4,30.0,5.567,167,720x1280,84,167,test
Side-6086-9_no02,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-9_no02.mp4,30.0,5.567,167,720x1280,61,161,val
Side-6086-9_no03,outdoor,2_4,Public Test\Ngoài trời - Outdoor\Band 2-4\Side-6086-9_no03.mp4,30.0,5.567,167,720x1280,65,117,test
Backside-8896-22_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22_no00.mp4,30.0,7.267,218,720x1280,105,205,train
Backside-8896-22_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22_no01.mp4,30.0,7.267,218,720x1280,107,207,train
Backside-8896-22_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22_no02.mp4,30.0,7.267,218,720x1280,88,188,train
Backside-8896-22_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22_no03.mp4,30.0,7.267,218,720x1280,108,208,val
Backside-8896-23_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23_no00.mp4,30.0,7.167,215,720x1280,101,161,train
Backside-8896-23_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23_no01.mp4,30.0,7.167,215,720x1280,117,215,train
Backside-8896-23_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23_no02.mp4,30.0,7.167,215,720x1280,118,215,test
Backside-8896-23_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23_no03.mp4,30.0,7.167,215,720x1280,103,203,val
Backside-8900-3_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3_no00.mp4,30.0,7.167,215,720x1280,114,214,val
Backside-8900-3_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3_no01.mp4,30.0,7.167,215,720x1280,127,215,train
Backside-8900-3_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3_no02.mp4,30.0,7.167,215,720x1280,114,164,train
Backside-8900-3_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3_no03.mp4,30.0,7.167,215,720x1280,107,207,val
Side-6086-1_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-1_no00.mp4,30.0,7.0,210,720x1280,102,153,train
Side-6086-1_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-1_no01.mp4,30.0,7.0,210,720x1280,78,152,test
Side-6086-1_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-1_no02.mp4,30.0,7.0,210,720x1280,74,155,train
Side-6086-1_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-1_no03.mp4,30.0,7.0,210,720x1280,0,100,train
Side-6086-4_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-4_no00.mp4,30.0,7.5,225,720x1280,108,176,train
Side-6086-4_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-4_no01.mp4,30.0,7.5,225,720x1280,0,24,train
Side-6086-4_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-4_no02.mp4,30.0,7.5,225,720x1280,138,225,train
Side-6086-4_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-4_no03.mp4,30.0,7.5,225,720x1280,116,176,train
Side-6086-5_no00,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-5_no00.mp4,30.0,6.967,209,720x1280,103,161,train
Side-6086-5_no01,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-5_no01.mp4,30.0,6.967,209,720x1280,125,209,val
Side-6086-5_no02,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-5_no02.mp4,30.0,6.967,209,720x1280,113,209,val
Side-6086-5_no03,outdoor,4_6,Public Test\Ngoài trời - Outdoor\Band 4-6\Side-6086-5_no03.mp4,30.0,6.967,209,720x1280,118,209,train
Backside-8895-16_no00,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16_no00.mp4,30.0,7.6,228,720x1280,137,228,train
Backside-8895-16_no01,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16_no01.mp4,30.0,7.6,228,720x1280,168,228,train
Backside-8895-16_no02,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16_no02.mp4,30.0,7.6,228,720x1280,137,228,train
Backside-8895-16_no03,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16_no03.mp4,30.0,7.6,228,720x1280,125,225,test
Backside-8896-14_no00,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14_no00.mp4,30.0,7.467,224,720x1280,128,184,train
Backside-8896-14_no01,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14_no01.mp4,30.0,7.467,224,720x1280,141,224,train
Backside-8896-14_no02,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14_no02.mp4,30.0,7.467,224,720x1280,126,224,test
Backside-8896-14_no03,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14_no03.mp4,30.0,7.467,224,720x1280,128,180,train
Backside-8896-9_no00,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-9_no00.mp4,30.0,6.2,186,720x1280,84,146,train
Backside-8896-9_no01,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-9_no01.mp4,30.0,6.2,186,720x1280,163,186,train
Backside-8896-9_no02,outdoor,6_8,Public Test\Ngoài trời - Outdoor\Band 6-8\Backside-8896-9_no02.mp4,30.0,6.2,186,720x1280,109,186,train
